District,Venue Type,Venue Name,Physical Address,Latitude,Longitude,Region
Armadale,Ordinary Polling Place,Westfield Park Primary School,"Hemingway Drive, WESTFIELD WA 6111",-32.11032,116.00533,East Metropolitan
Balcatta,Mobile Polling Place,Amana Living - James Brown House,"171 Albert Street, OSBORNE PARK WA 6017",-31.897812,115.825014,North Metropolitan
Balcatta,Ordinary Polling Place,Balcatta Primary School,"Balcatta Primary School, 387 Main Street, BALCATTA WA 6021",-31.88110,115.82798,North Metropolitan
Balcatta,Ordinary Polling Place,Balcatta Senior High School,"31 Poincaire Street, BALCATTA WA 6021",-31.87603,115.81320,North Metropolitan
Balcatta,Mobile Polling Place,Bethanie Joondanna,"130 Edinboro Street, JOONDANNA WA 6060",-31.913787,115.841508,North Metropolitan
Balcatta,Ordinary Polling Place,East Hamersley Primary School,"20 Doon Way, HAMERSLEY WA 6022",-31.847777,115.817917,North Metropolitan
Balcatta,Ordinary Polling Place,Glendale Primary School,"21 Glendale Avenue, HAMERSLEY WA 6022",-31.848513,115.807644,North Metropolitan
Balcatta,Mobile Polling Place,MyVista Aged Care & Village,"11 Nugent Street, BALCATTA WA 6021",-31.866017,115.82726,North Metropolitan
Balcatta,Ordinary Polling Place,Osborne Park Community Centre,"11 Royal Street, TUART HILL WA 6060",-31.89629,115.82953,North Metropolitan
Balcatta,Ordinary Polling Place,Osborne Park Hospital,"Osborne Place, STIRLING WA 6021",-31.886713,115.804105,North Metropolitan
Balcatta,Mobile Polling Place,Osborne Park Hospital,"Osborne Place, STIRLING WA 6021",-31.886713,115.804105,North Metropolitan
Balcatta,Ordinary Polling Place,Osborne Primary School,"155 Albert Street, OSBORNE PARK WA 6017",-31.89978,115.82533,North Metropolitan
Balcatta,Mobile Polling Place,St Andrew's Care Facility,"20 Burwood Road, Balcatta WA 6021",-31.886953,115.827405,North Metropolitan
Balcatta,Ordinary Polling Place,St Denis School,"2 Orchid Street, JOONDANNA WA 6060",-31.90999,115.84410,North Metropolitan
Balcatta,Ordinary Polling Place,Takari Primary School,"5 Rickman Street, BALCATTA WA 6021",-31.86981,115.82153,North Metropolitan
Balcatta,Ordinary Polling Place,Tuart Hill Primary School,"Banksia Street, TUART HILL WA 6060",-31.901238,115.840131,North Metropolitan
Baldivis,Ordinary Polling Place,Baldivis Primary School,"214 Fifty Road, BALDIVIS WA 6171",-32.307676,115.817670,South Metropolitan
Baldivis,Mobile Polling Place,Bert England Lodge,"111 Woodbridge Drive, COOLOONGUP WA 6168",-32.289792,115.768584,South Metropolitan
Baldivis,Ordinary Polling Place,Bertram Primary School,"Champion Drive, BERTRAM WA 6167",-32.24695,115.84320,South Metropolitan
Baldivis,Ordinary Polling Place,East Waikiki Primary School,"21 Gibb Road, COOLOONGUP WA 6168",-32.304219,115.761059,South Metropolitan
Baldivis,Ordinary Polling Place,Leda Primary School,"1-25 Feilman Drive, LEDA WA 6170",-32.260218,115.803967,South Metropolitan
Baldivis,Ordinary Polling Place,Makybe Rise Primary School,"Makybe Drive, BALDIVIS WA 6171",-32.345053,115.817635,South Metropolitan
Baldivis,Ordinary Polling Place,Peter Carnley Anglican Community School,"386 Wellard Road, WELLARD WA 6170",-32.257132,115.815521,South Metropolitan
Baldivis,Ordinary Polling Place,Rivergums Primary School,"1 Avoca Chase, BALDIVIS WA 6171",-32.336,115.829910,South Metropolitan
Baldivis,Mobile Polling Place,Rockingham - Kwinana Hospital,"39 Elanora Drive, COOLOONGUP WA 6168",-32.291005,115.770863,South Metropolitan
Baldivis,Ordinary Polling Place,Rockingham John Calvin School,"879 Mandurah Road, BALDIVIS WA 6171",-32.30608822,115.79818190,South Metropolitan
Baldivis,Ordinary Polling Place,South Coast Baptist College,"30 Gnangara Drive, WAIKIKI WA 6169",-32.31479,115.75694,South Metropolitan
Baldivis,Ordinary Polling Place,The Kings College,"170 Bertram Road, WELLARD WA 6170",-32.25312000,115.84137000,South Metropolitan
Baldivis,Ordinary Polling Place,Tranby College,"17 Tranby Drive, BALDIVIS WA 6171",-32.34053,115.80156,South Metropolitan
Baldivis,Ordinary Polling Place,Tuart Rise Primary School,"31 Kempeana Way, BALDIVIS WA 6171",-32.35404400,115.81414600,South Metropolitan
Baldivis,Ordinary Polling Place,Waikiki Primary School,"Arnside Bend, WAIKIKI WA 6169",-32.319586,115.762333,South Metropolitan
Baldivis,Mobile Polling Place,Waikiki Private Hospital,"222 Willmott Drive, WAIKIKI WA 6169",-32.31,115.763056,South Metropolitan
Bassendean,Ordinary Polling Place,Anzac Terrace Primary School,"176 Anzac Terrace, BASSENDEAN WA 6054",-31.89768,115.93692,East Metropolitan
Bassendean,Ordinary Polling Place,Ashfield Primary School,"Ashfield Primary School, 65 Margaret Street, ASHFIELD WA 6054",-31.914852,115.940901,East Metropolitan
Bassendean,Mobile Polling Place,Bassendean Nursing Home,"24 Hamilton Street, BASSENDEAN WA 6054",-31.904585,115.95118,East Metropolitan
Bassendean,Ordinary Polling Place,Bassendean Primary School,"65 West Road, BASSENDEAN WA 6054",-31.907705,115.953843,East Metropolitan
Bassendean,Ordinary Polling Place,Beechboro Primary School,"20 King Road, BEECHBORO WA 6063",-31.86847,115.93609,East Metropolitan
Bassendean,Mobile Polling Place,Carramar Hostel / Village,"23A Redgum Way, Morley WA 6062",-31.876574,115.927075,East Metropolitan
Bassendean,Ordinary Polling Place,East Beechboro Primary School,"Brockmill Avenue, BEECHBORO WA 6063",-31.872850,115.950898,East Metropolitan
Bassendean,Ordinary Polling Place,Eden Hill Primary School,"83 Ivanhoe Street, EDEN HILL WA 6054",-31.893004,115.945960,East Metropolitan
Bassendean,Ordinary Polling Place,Hampton Senior High School,"72 Morley Drive East, MORLEY WA 6062",-31.89010,115.92653,East Metropolitan
Bassendean,Ordinary Polling Place,John Septimus Roe Anglican Community School,"463 Beechboro Road, BEECHBORO WA 6063",-31.87121,115.92315,East Metropolitan
Bassendean,Ordinary Polling Place,Kiara College,"368 Benara Road, KIARA WA 6054",-31.87597,115.93500,East Metropolitan
Bassendean,Ordinary Polling Place,Lockridge Primary School,"48 Rosher Road, LOCKRIDGE WA 6054",-31.88315,115.95118,East Metropolitan
Bateman,Mobile Polling Place,Applecross Nursing Home,"Riverway, APPLECROSS WA 6153",-32.008964,115.847051,South Metropolitan
Bateman,Ordinary Polling Place,Applecross Primary School,"65 Kintail Road, APPLECROSS WA 6153",-32.01127,115.83897,South Metropolitan
Bateman,Ordinary Polling Place,Ardross Primary School,"46 Links Road, ARDROSS WA 6153",-32.0274,115.83382,South Metropolitan
Bateman,Ordinary Polling Place,Bateman Primary School,"2 Bartling Crescent, BATEMAN WA 6150",-32.05127,115.84548,South Metropolitan
Bateman,Ordinary Polling Place,Booragoon Primary School,"10 Clements Road, BOORAGOON WA 6154",-32.03481,115.82626,South Metropolitan
Bateman,Ordinary Polling Place,Brentwood Primary School,"41-45 Moolyeen Road, BRENTWOOD WA 6153",-32.04172,115.84764,South Metropolitan
Bateman,Ordinary Polling Place,Corpus Christi College,"Murdoch Drive, BATEMAN WA 6150",-32.05664000,115.84190000,South Metropolitan
Bateman,Ordinary Polling Place,Len Shearer Pavilion,"37 Marcus Avenue, BOORAGOON WA 6154",-32.04049,115.829509,South Metropolitan
Bateman,Ordinary Polling Place,Mt Pleasant Primary School,"29 Queens Road, MOUNT PLEASANT WA 6153",-32.029842,115.845946,South Metropolitan
Bateman,Mobile Polling Place,Parkland Villas,"510 Marmion Street, BOORAGOON WA 6154",-32.037957,115.826313,South Metropolitan
Bateman,Mobile Polling Place,Regent Gardens Residential Care - Bateman,"2 Amur Place, BATEMAN WA 6150",-32.046533,115.84829,South Metropolitan
Bateman,Mobile Polling Place,Regents Garden Four Seasons,"495 Marmion Street, BOORAGOON WA 6154",-32.0406,115.824212,South Metropolitan
Bateman,Ordinary Polling Place,St Benedict's Hall,"Alness Street, ARDROSS WA 6153",-32.01863,115.838940,South Metropolitan
Bateman,Ordinary Polling Place,Winthrop Primary School,"70-80 Jackson Avenue, WINTHROP WA 6150",-32.05488,115.83353,South Metropolitan
Belmont,Ordinary Polling Place,Belmont City College,"106 Fisher Street, BELMONT WA 6104",-31.95806,115.93413,East Metropolitan
Belmont,Ordinary Polling Place,Belmont Park Tennis Club,"CNR Robinson Avenue and Scott Street, CLOVERDALE WA 6105",-31.97187,115.94483,East Metropolitan
Belmont,Ordinary Polling Place,Belmont Primary School,"213 Great Eastern Highway, BELMONT WA 6104",-31.94426,115.92270,East Metropolitan
Belmont,Mobile Polling Place,Brightwater Redcliffe Aged Care,"23 Johnson Road, REDCLIFFE WA 6104",-31.941876,115.943082,East Metropolitan
Belmont,Ordinary Polling Place,Carlisle Primary School,"271 Orrong Road, KEWDALE WA 6105",-31.97346,115.92221,East Metropolitan
Belmont,Ordinary Polling Place,Hazelmere Community Hall,"Bushmead Road, HAZELMERE WA 6055",-31.902572,115.994218,East Metropolitan
Belmont,Ordinary Polling Place,Kewdale Primary School,"264 Kew Street, KEWDALE WA 6105",-31.97528,115.94398,East Metropolitan
Belmont,Mobile Polling Place,Lakeside Aged Care,"68 Lyall Street, REDCLIFFE WA 6104",-31.939142,115.941159,East Metropolitan
Belmont,Mobile Polling Place,Marist Lodge Belmont,"12 Lapage Street, BELMONT WA 6103",-31.946129,115.923179,East Metropolitan
Belmont,Ordinary Polling Place,Nations Church,"240 Epsom Avenue, BELMONT WA 6104",-31.948641,115.946244,East Metropolitan
Belmont,Ordinary Polling Place,Redcliffe Primary School,"62 Kanowna Avenue, REDCLIFFE WA 6104",-31.935210,115.945260,East Metropolitan
Belmont,Ordinary Polling Place,Rivervale Primary School,"99 Acton Avenue, RIVERVALE WA 6103",-31.95914,115.91971,East Metropolitan
Belmont,Ordinary Polling Place,St Augustine's School,"34 Gladstone Road, RIVERVALE WA 6103",-31.959882,115.906475,East Metropolitan
Bicton,Mobile Polling Place,Attadale Hospital,"21 Hislop Road, ATTADALE WA 6156",-32.029727,115.810585,South Metropolitan
Bicton,Ordinary Polling Place,Attadale Primary School,"47 Wichmann Road, ATTADALE WA 6156",-32.02521,115.80181,South Metropolitan
Bicton,Ordinary Polling Place,Bicton Primary School,"View Terrace, BICTON WA 6157",-32.03289,115.786853,South Metropolitan
Bicton,Mobile Polling Place,Braemar House,"10 Windsor Road, EAST FREMANTLE WA 6158",-32.039093,115.77111,South Metropolitan
Bicton,Mobile Polling Place,Braemar Lodge,"51 Point Walter Road, BICTON WA 6157",-32.029119,115.783475,South Metropolitan
Bicton,Mobile Polling Place,Carinya Annex Bicton,"41 Bristol Avenue, BICTON WA 6157",-32.02925,115.782127,South Metropolitan
Bicton,Mobile Polling Place,Carinya Nursing Bicton,"220 Preston Point Road, BICTON WA 6157",-32.030368,115.783465,South Metropolitan
Bicton,Ordinary Polling Place,Melville Primary School,"70 Curtis Road, MELVILLE WA 6156",-32.03919,115.80693,South Metropolitan
Bicton,Ordinary Polling Place,Melville Recreation Centre,"Canning Highway, MELVILLE WA 6156",-32.03439,115.79504,South Metropolitan
Bicton,Ordinary Polling Place,Melville Senior High School,"18 Potts Street, MELVILLE WA 6156",-32.04600,115.80444,South Metropolitan
Bicton,Mobile Polling Place,Myaree Gardens Estate,"444 Marmion Street, MYAREE WA 6154",-32.039215,115.809675,South Metropolitan
Bicton,Mobile Polling Place,Opal Melville,"15 Cotrill Street, MYAREE WA 6154",-32.037818,115.810009,South Metropolitan
Bicton,Ordinary Polling Place,Palmyra Primary School,"60 McKimmie Road, PALMYRA WA 6157",-32.04548,115.78549,South Metropolitan
Bicton,Mobile Polling Place,Pilgrim Hostel,"22 Wolsely Road, EAST FREMANTLE WA 6158",-32.037199,115.765232,South Metropolitan
Bicton,Ordinary Polling Place,Richmond Primary School,"37 Windsor Road, EAST FREMANTLE WA 6158",-32.0363,115.7702602,South Metropolitan
Bicton,Ordinary Polling Place,St Peter's Anglican Church Hall,"2 Hammad Street, PALMYRA WA 6157",-32.03942,115.77693,South Metropolitan
Bicton,Ordinary Polling Place,Tricolore Community Centre,"Wauhop Road, EAST FREMANTLE WA 6158",-32.028128,115.768282,South Metropolitan
Bunbury,Ordinary Polling Place,Adam Road Primary School,"Adam Road, SOUTH BUNBURY WA 6230",-33.357929,115.634011,South West
Bunbury,Mobile Polling Place,Bethanie Elanora,"37 Hastie Street, BUNBURY WA 6230",-33.357231,115.624824,South West
Bunbury,Ordinary Polling Place,Bunbury Catholic College,"Lot 4 Rodsted Street, EAST BUNBURY WA 6230",-33.34337,115.66183,South West
Bunbury,Ordinary Polling Place,Bunbury CBD,"To Be Confirmed , BUNBURY WA 6230",,,South West
Bunbury,Ordinary Polling Place,Bunbury Pre-Primary Centre,"Lovegrove Avenue, BUNBURY WA 6230",-33.333161,115.637798,South West
Bunbury,Mobile Polling Place,Bunbury Regional Prison,"Centennary Road, COLLEGE GROVE WA 6230",-33.385047,115.668319,South West
Bunbury,Ordinary Polling Place,Carey Park Primary School,"Ecclestone Street , CAREY PARK WA 6230",-33.34900,115.65088,South West
Bunbury,Ordinary Polling Place,Cooinda Primary School,"Allen Street, EAST BUNBURY WA 6230",-33.33466,115.65233,South West
Bunbury,Ordinary Polling Place,Dalyellup Primary School,"14 Hartog Road, DALYELLUP WA 6230",-33.400185,115.622182,South West
Bunbury,Ordinary Polling Place,Maidens Park Primary School,"Westwood Street, WITHERS WA 6230",-33.36920,115.62827,South West
Bunbury,Ordinary Polling Place,Milligan House Child Care Centre,"35 Milligan Street, CAREY PARK WA 6230",-33.358891,115.657596,South West
Bunbury,Mobile Polling Place,Ocean Star Aged Care,"207 Ocean Drive, BUNBURY WA 6230",-33.349794,115.621565,South West
Bunbury,Ordinary Polling Place,Picton Primary School,"123 Jeffrey Road, GLEN IRIS WA 6230",-33.34016,115.68816,South West
Bunbury,Mobile Polling Place,Regis Forrest Gardens,"926 Woodrow Street, BUNBURY WA 6230",-33.345464,115.647045,South West
Bunbury,Ordinary Polling Place,South Bunbury Pre-Primary Centre,"19 Prosser Street, SOUTH BUNBURY WA 6230",-33.34031,115.64260,South West
Bunbury,Ordinary Polling Place,South West Health Campus,"Bussell Highway, COLLEGE GROVE WA 6230",-33.36681,115.64773,South West
Bunbury,Mobile Polling Place,Wattle Hill Lodge,"2 Wattle Street, BUNBURY WA 6230",-33.335114,115.629902,South West
Burns Beach,Ordinary Polling Place,Bramston Park Community Centre,"14 Mattingsley Approach, BURNS BEACH WA 6028",-31.726537,115.732358,North Metropolitan
Burns Beach,Ordinary Polling Place,Clarkson Community High School,"16 Walyunga Boulevard, CLARKSON WA 6030",-31.676238,115.726260,North Metropolitan
Burns Beach,Ordinary Polling Place,Comet School,"59 Key Largo Drive, CLARKSON WA 6030",-31.691082,115.719509,North Metropolitan
Burns Beach,Ordinary Polling Place,Currambine Primary School,"28 Ambassador Drive, CURRAMBINE WA 6028",-31.73304,115.74892,North Metropolitan
Burns Beach,Ordinary Polling Place,Francis Jordan Catholic School,"25 Peterborough Drive, CURRAMBINE WA 6028",-31.73087,115.73883,North Metropolitan
Burns Beach,Ordinary Polling Place,Joondalup Primary School,"150 Blue Mountain Drive, JOONDALUP WA 6027",-31.723280,115.761424,North Metropolitan
Burns Beach,Ordinary Polling Place,Kinross Primary School,"64 Kinross Drive, KINROSS WA 6028",-31.718466,115.736233,North Metropolitan
Burns Beach,Ordinary Polling Place,MacNaughton Clubrooms,"9 MacNaughton Crescent, KINROSS WA 6028",-31.71706,115.74209,North Metropolitan
Burns Beach,Ordinary Polling Place,Mindarie Primary School,"90 Rothesay Heights, MINDARIE WA 6030",-31.68700,115.70893,North Metropolitan
Burns Beach,Ordinary Polling Place,Mindarie Senior College,"14 Elliston Parade, MINDARIE WA 6030",-31.6772,115.70615,North Metropolitan
Burns Beach,Ordinary Polling Place,Somerly Primary School,"15 Somerly Drive, CLARKSON WA 6030",-31.68481,115.72782,North Metropolitan
Butler,Mobile Polling Place,Bethanie Beachside Aged Care,"629 Two Rocks Road, YANCHEP WA 6035",-31.544483,115.630103,North Metropolitan
Butler,Ordinary Polling Place,Butler Primary School,"30 Tollesbury Avenue, BUTLER WA 6036",-31.645721,115.702576,North Metropolitan
Butler,Ordinary Polling Place,East Butler Primary School,"7 Amersham Crescent, BUTLER WA 6036",-31.64460,115.71171,North Metropolitan
Butler,Ordinary Polling Place,Gumblossom Community Centre,"17 Tapping Way, QUINNS ROCKS WA 6030",-31.67239,115.70505,North Metropolitan
Butler,Mobile Polling Place,Karri & Tuart Lodge RAAFA Estate,"19 Hughie Edwards Drive, MERRIWA WA 6030",-31.657334,115.708541,North Metropolitan
Butler,Ordinary Polling Place,Merriwa Primary School,"67 Baltimore Parade, MERRIWA WA 6030",-31.66817,115.71336,North Metropolitan
Butler,Ordinary Polling Place,Quinns Beach Primary School,"5 James Cook Avenue, QUINNS ROCKS WA 6030",-31.658203,115.695321,North Metropolitan
Butler,Ordinary Polling Place,RAAFA Estate - Merriwa,"19 Hughie Edwards Drive, MERRIWA WA 6030",-31.657971,115.707756,North Metropolitan
Butler,Ordinary Polling Place,Two Rocks Primary School,"51 Resolute Drive, TWO ROCKS WA 6037",-31.488789,115.59182,North Metropolitan
Butler,Mobile Polling Place,Vivian Bullwinkel Lodge,"85 Hester Avenue, MERRIWA WA 6030",-31.670825,115.719057,North Metropolitan
Butler,Ordinary Polling Place,Yanchep Beach Primary School,"100 Linsay Beach Blvd, YANCHEP WA 6035",-31.54344,115.63198,North Metropolitan
Butler,Ordinary Polling Place,Yanchep District High School,"15 Primary Road, YANCHEP WA 6035",-31.55134,115.63600,North Metropolitan
Cannington,Ordinary Polling Place,Bannister Creek Primary School,"20 Purley Crescent, LYNWOOD WA 6147",-32.03903,115.92848,South Metropolitan
Cannington,Ordinary Polling Place,Beckenham Community Church,"22 Sydenham Street, BECKENHAM WA 6107",-32.025976,115.962319,South Metropolitan
Cannington,Mobile Polling Place,Bentley Hospital,"33 Mills Street, BENTLEY WA 6102",-32.006501,115.928989,South Metropolitan
Cannington,Ordinary Polling Place,Brookman Primary School,"34 Brookman Avenue, LANGFORD WA 6147",-32.03749,115.93884,South Metropolitan
Cannington,Ordinary Polling Place,Fountain College,"12 Karri Way, FERNDALE WA 6148",-32.03632,115.92035,South Metropolitan
Cannington,Ordinary Polling Place,Gibbs Street Primary School,"79-93 Gibbs Street, EAST CANNINGTON WA 6107",-32.00825,115.95317,South Metropolitan
Cannington,Mobile Polling Place,Howard Solomon Aged Care,"91 Hybanthus Road, FERNDALE WA 6148",-32.03849,115.921526,South Metropolitan
Cannington,Ordinary Polling Place,Lynwood Christian Church,"32 Latham Road, FERNDALE WA 6148",-32.028992,115.930111,South Metropolitan
Cannington,Ordinary Polling Place,Parkwood Primary School,"9 Zelkova Road, PARKWOOD WA 6147",-32.04267,115.91409,South Metropolitan
Cannington,Ordinary Polling Place,Sevenoaks Senior College,"275 Sevenoaks Street, CANNINGTON WA 6107",-32.011945,115.942414,South Metropolitan
Cannington,Ordinary Polling Place,St Norbert College,"135 Treasure Road, QUEENS PARK WA 6107",-32.004726,115.938812,South Metropolitan
Carine,Mobile Polling Place,Amana Living Lady McCusker Village,"27 Beddi Road, DUNCRAIG WA 6023",-31.838591,115.76461,North Metropolitan
Carine,Ordinary Polling Place,Carine Senior High School,"51 Everingham Street, CARINE WA 6020",-31.85266,115.77662,North Metropolitan
Carine,Ordinary Polling Place,Davallia Primary School,"6 Juniper Way, DUNCRAIG WA 6023",-31.84117,115.78725,North Metropolitan
Carine,Ordinary Polling Place,Duncraig Primary School,"21 Roche Road, DUNCRAIG WA 6023",-31.83227,115.77091,North Metropolitan
Carine,Ordinary Polling Place,Duncraig Senior High School,"22 Sullivan Road, DUNCRAIG WA 6023",-31.820535,115.767412,North Metropolitan
Carine,Ordinary Polling Place,Glengarry Primary School,"25 Doveridge Drive, DUNCRAIG WA 6023",-31.827057,115.782624,North Metropolitan
Carine,Mobile Polling Place,Glengarry Private Hospital,"53 Arnisdale Road, DUNCRAIG WA 6023",-31.834249,115.784947,North Metropolitan
Carine,Mobile Polling Place,Glengarry Retirement Lodge,"49 Arnisdale Road, DUNCRAIG WA 6023",-31.834239,115.785863,North Metropolitan
Carine,Ordinary Polling Place,Karrinyup Primary School,"15 Hampton Street, KARRINYUP WA 6018",-31.87046,115.77588,North Metropolitan
Carine,Ordinary Polling Place,Marmion Primary School,"7 Cliverton Court, MARMION WA 6020",-31.84405,115.75865,North Metropolitan
Carine,Ordinary Polling Place,North Beach Community Centre,"20 Castle Street, NORTH BEACH WA 6020",-31.855982,115.754810,North Metropolitan
Carine,Ordinary Polling Place,North Beach Primary School,"75 North Beach Road, NORTH BEACH WA 6020",-31.86028,115.76108,North Metropolitan
Carine,Ordinary Polling Place,Poynter Primary School,"39 Poynter Drive, DUNCRAIG WA 6023",-31.84205,115.77537,North Metropolitan
Carine,Mobile Polling Place,Trinity Village,"7 Beddi Road, DUNCRAIG WA 6023",-31.839506,115.764396,North Metropolitan
Central Wheatbelt,Mobile Polling Place,Avon Valley Residency,"47-57 Burgoyne Street, NORTHAM WA 6401",-31.657461,116.681465,Agricultural
Central Wheatbelt,Ordinary Polling Place,Bakers Hill Primary School,"33 St George Street, BAKERS HILL WA 6562",-31.747725,116.462336,Agricultural
Central Wheatbelt,Ordinary Polling Place,Beacon Community Resource Centre,"11 Rowlands Street, BEACON WA 6472",-30.449822,117.865606,Agricultural
Central Wheatbelt,Ordinary Polling Place,Bencubbin Community Resource Centre,"283 Monger Street, BENCUBBIN WA 6477",-30.8094889,117.859244,Agricultural
Central Wheatbelt,Mobile Polling Place,Bethavon Hostel,"107 Duke Street, NORTHAM WA 6401",-31.657448,116.671992,Agricultural
Central Wheatbelt,Ordinary Polling Place,Beverley Lesser Hall,"142 Vincent Street, BEVERLEY WA 6304",-32.10917,116.92416,Agricultural
Central Wheatbelt,Ordinary Polling Place,Boddington Shire Chambers,"39 Bannister Road, BODDINGTON WA 6390",-32.802301,116.475155,Agricultural
Central Wheatbelt,Ordinary Polling Place,Brookton District High School,"20 Tiller Street, BROOKTON WA 6306",-32.37238,117.00921,Agricultural
